date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:34:25	3244/3244	---M-Z	200	added ('OK')	text/html	etag:%221623005050%22	http://v6p9d9t4.ssl.hwcdn.net/html/3953466/bin/index.html	C:/Users/josep/Downloads/lol%20hd/v6p9d9t4.ssl.hwcdn.net/html/3953466/bin/index.html	(from )
10:34:25	223/223	---M--	403	error ('Forbidden')	application/xml	date:Tue,%2008%20Jun%202021%2014:34:25%20GMT	http://v6p9d9t4.ssl.hwcdn.net/robots.txt		(from )
10:34:25	18920/18920	---M--	200	added ('OK')	image/png	etag:%221623005050%22	http://v6p9d9t4.ssl.hwcdn.net/html/3953466/bin/favicon.png	C:/Users/josep/Downloads/lol%20hd/v6p9d9t4.ssl.hwcdn.net/html/3953466/bin/favicon.png	(from http://v6p9d9t4.ssl.hwcdn.net/html/3953466/bin/index.html)
10:34:32	35196/35196	---M--	200	added ('OK')	font/woff	etag:%221623005044%22	http://v6p9d9t4.ssl.hwcdn.net/html/3953466/bin/assets/fonts/Funkin-Bold.woff	C:/Users/josep/Downloads/lol%20hd/v6p9d9t4.ssl.hwcdn.net/html/3953466/bin/assets/fonts/Funkin-Bold.woff	(from http://v6p9d9t4.ssl.hwcdn.net/html/3953466/bin/index.html)
10:34:34	51818/51818	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221623005044%22	http://v6p9d9t4.ssl.hwcdn.net/html/3953466/bin/assets/fonts/Funkin-Bold.eot?	C:/Users/josep/Downloads/lol%20hd/v6p9d9t4.ssl.hwcdn.net/html/3953466/bin/assets/fonts/Funkin-Boldd41d.eot	(from http://v6p9d9t4.ssl.hwcdn.net/html/3953466/bin/index.html)
10:34:35	51608/51608	---M--	200	added ('OK')	font/otf	etag:%221623005044%22	http://v6p9d9t4.ssl.hwcdn.net/html/3953466/bin/assets/fonts/Funkin-Bold.otf	C:/Users/josep/Downloads/lol%20hd/v6p9d9t4.ssl.hwcdn.net/html/3953466/bin/assets/fonts/Funkin-Bold.otf	(from http://v6p9d9t4.ssl.hwcdn.net/html/3953466/bin/index.html)
10:34:40	33752/33752	---M--	200	added ('OK')	font/woff	etag:%221623005044%22	http://v6p9d9t4.ssl.hwcdn.net/html/3953466/bin/assets/fonts/funkin.woff	C:/Users/josep/Downloads/lol%20hd/v6p9d9t4.ssl.hwcdn.net/html/3953466/bin/assets/fonts/funkin.woff	(from http://v6p9d9t4.ssl.hwcdn.net/html/3953466/bin/index.html)
10:34:40	52202/52202	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221623005044%22	http://v6p9d9t4.ssl.hwcdn.net/html/3953466/bin/assets/fonts/funkin.eot?	C:/Users/josep/Downloads/lol%20hd/v6p9d9t4.ssl.hwcdn.net/html/3953466/bin/assets/fonts/funkind41d.eot	(from http://v6p9d9t4.ssl.hwcdn.net/html/3953466/bin/index.html)
10:34:42	7156/7156	---M--	200	added ('OK')	font/woff	etag:%221623005044%22	http://v6p9d9t4.ssl.hwcdn.net/html/3953466/bin/assets/fonts/pixel.woff	C:/Users/josep/Downloads/lol%20hd/v6p9d9t4.ssl.hwcdn.net/html/3953466/bin/assets/fonts/pixel.woff	(from http://v6p9d9t4.ssl.hwcdn.net/html/3953466/bin/index.html)
10:34:42	14902/14902	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221623005044%22	http://v6p9d9t4.ssl.hwcdn.net/html/3953466/bin/assets/fonts/pixel.eot?	C:/Users/josep/Downloads/lol%20hd/v6p9d9t4.ssl.hwcdn.net/html/3953466/bin/assets/fonts/pixeld41d.eot	(from http://v6p9d9t4.ssl.hwcdn.net/html/3953466/bin/index.html)
10:34:43	51996/51996	---M--	200	added ('OK')	font/otf	etag:%221623005044%22	http://v6p9d9t4.ssl.hwcdn.net/html/3953466/bin/assets/fonts/funkin.otf	C:/Users/josep/Downloads/lol%20hd/v6p9d9t4.ssl.hwcdn.net/html/3953466/bin/assets/fonts/funkin.otf	(from http://v6p9d9t4.ssl.hwcdn.net/html/3953466/bin/index.html)
10:34:44	14656/14656	---M--	200	added ('OK')	font/otf	etag:%221623005044%22	http://v6p9d9t4.ssl.hwcdn.net/html/3953466/bin/assets/fonts/pixel.otf	C:/Users/josep/Downloads/lol%20hd/v6p9d9t4.ssl.hwcdn.net/html/3953466/bin/assets/fonts/pixel.otf	(from http://v6p9d9t4.ssl.hwcdn.net/html/3953466/bin/index.html)
10:34:47	25288/25288	---M--	200	added ('OK')	font/woff	etag:%221623005044%22	http://v6p9d9t4.ssl.hwcdn.net/html/3953466/bin/assets/fonts/vcr.woff	C:/Users/josep/Downloads/lol%20hd/v6p9d9t4.ssl.hwcdn.net/html/3953466/bin/assets/fonts/vcr.woff	(from http://v6p9d9t4.ssl.hwcdn.net/html/3953466/bin/index.html)
